web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775593344-82","https://blinkit.com/cn/instant-frozen-food/frozen-veg-snacks/cid/15/1413","Prasuma Veg and Paneer Momos","10 pcs","₹134","₹155","13%
OFF","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/50a9d69d-fa46-473e-b442-342efb205541.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593344-83","https://blinkit.com/cn/instant-frozen-food/frozen-veg-snacks/cid/15/1413","ITC Master Chef Crispy Onion Rings","250 g","₹155","","","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9b17c8ed-e97b-4a4d-8d14-5f8d742f8c84.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593344-84","https://blinkit.com/cn/instant-frozen-food/frozen-veg-snacks/cid/15/1413","McCain Air Fryer French Fries","420 g","₹144","₹160","10%
OFF","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774497688678-118.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593344-85","https://blinkit.com/cn/instant-frozen-food/frozen-veg-snacks/cid/15/1413","McCain Korean Zig Zag French Fries","325 g","₹100","₹129","22%
OFF","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/770d7512-14d6-45fe-be5e-82b1c2709bf0.png","",""
"1775593344-86","https://blinkit.com/cn/instant-frozen-food/frozen-veg-snacks/cid/15/1413","HyFun Flavory French Fries (Chilli & Herbs)","400 g","₹116","₹160","27%
OFF","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772099592287-177.png","",""
"1775593344-87","https://blinkit.com/cn/instant-frozen-food/frozen-veg-snacks/cid/15/1413","Blue Tribe Foods Plant Based Nuggets","250 g","₹164","","","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/316d0f60-955e-4aff-ae9f-c4a28ac2dc3f.png","",""
"1775593344-88","https://blinkit.com/cn/instant-frozen-food/frozen-veg-snacks/cid/15/1413","Wow! Momo Veg Darjeeling Momos (Frozen)","10 pcs","₹119","₹154","22%
OFF","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770195887273-322.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593344-89","https://blinkit.com/cn/instant-frozen-food/frozen-veg-snacks/cid/15/1413","HyFun Peri Peri French Fries","774 g","₹188","₹244","22%
OFF","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772099592287-214.png","",""
"1775593344-90","https://blinkit.com/cn/instant-frozen-food/frozen-veg-snacks/cid/15/1413","McCain Aloo Tikki (Frozen)","760 g","₹245","","","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fc561f9e-4070-4acb-9069-270dd434fe40.png","",""
"1775593344-91","https://blinkit.com/cn/instant-frozen-food/frozen-veg-snacks/cid/15/1413","McCain Korean Zig Zag French Fries","325 g","₹100","₹129","22%
OFF","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/770d7512-14d6-45fe-be5e-82b1c2709bf0.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
