web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775622422-109","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Kokiri Hot Spicy Seaweed Roll","25 g","₹365","","","11 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ffd86458-91e2-48be-b9e8-20c059570930.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-110","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Time Out Popcorn Cheddar Cheese + Sour Cream & Onion Seasoning","2 x 100 g","₹300","₹320","6%
OFF","9 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4e2b5b07-8f3d-4501-99be-e67f3aaee6a5.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-111","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Urban Platter Vegan Cheddar Cheese Seasoning","100 g","₹126","₹140","Out of Stock","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4e76add0-3514-4cd7-9ce5-69fc916e1ff2.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-112","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","On1y Oregano","10 g","₹79","₹99","Out of Stock","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fdbd36aa-cc35-4461-8ccb-694e46b6a6f9.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-113","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Desire Birista Fried Onion Flakes","1 kg","₹399","₹499","Out of Stock","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/69f51162-3f7c-4647-a93c-88124de5d217.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-114","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Keya Garlic Granules","55 g","₹90","₹99","Out of Stock","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/5ba59b42-7189-4df1-8eee-4387e4c3e991.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-115","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Nutrilin Dried Rosemary Leaves","100 g","₹174","₹299","Out of Stock","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/086c0fee-d660-42ec-9a28-91272dde6557.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-116","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Keya Ginger Garlic Powder","50 g","₹126","₹139","Out of Stock","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3fe8dc53-6621-46c7-80c8-1e0294d55e81.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-117","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Mai Ready Spices Fried Onion Flakes","200 g","₹175","₹199","Out of Stock","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/65c59ea0-6fa3-42cc-99c3-73974befe7c0.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-118","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","On1y Piri Piri Mix","80 g","₹102","₹119","Out of Stock","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7470d869-5746-4b15-a3e8-0e2abc1d7ff5.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-119","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","On1y Italian Seasoning Mix","35 g","₹133","₹149","Out of Stock","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/370da9a2-b6d6-4af6-a4c8-709be2417a5e.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-120","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","The Select Aisle Cheddar Cheese Seasoning","65 g","₹117","₹129","Out of Stock","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/67d94744-974e-435b-8420-f79bcfc57911.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-121","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Nutty Fried Onion Flakes","900 g","₹349","₹499","Out of Stock","9 mins","","","",""
"1775622422-122","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Green Piece Seasoning Mix Set","4 x 50 g","₹309","₹796","Out of Stock","9 mins","","","",""
"1775622422-123","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Nutty Fried Onion Flakes","900 g","₹349","₹499","Out of Stock","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/265e182e-e34a-4ee0-94d1-7fec184006a5.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622422-124","https://blinkit.com/cn/instant-frozen-food/herbs-seasoning/cid/15/1968","Green Piece Seasoning Mix Set","4 x 50 g","₹309","₹796","Out of Stock","9 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/29b39624-4e60-40c4-9f46-348bb9c19e13.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
