web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775678627-240","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Eno Lemon Digestive Antacid","100 g","₹165","₹173","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/110efd9a-3001-4659-ac88-88a98570d409.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678627-241","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Vicks Inhaler (Instant Relief From Blocked Nose)","2 x 0.5 ml","₹112","₹120","6%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773909116319-41.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678627-242","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Hansaplast Crepe Bandage (8 cm X 4 m)","1 pc","₹200","₹278","28%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/73e97f5a-acbe-44fb-b2ee-afe847e5fa65.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678627-243","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Revital Recharge ORS - Orange Flavour","200 ml","₹31","","","ADD","3 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1769744828806-87.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678627-244","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Hansaplast Spot Adhesive Bandage","50 pcs","₹100","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b7a9128d-d96b-4f67-a32f-349c3cc5f9d8.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678627-245","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Zandu Balm for Headache & Pain Relief","25 ml","₹113","₹118","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1774421103172-37.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678627-246","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Wellness Tree Hot & Cold Reusable Cold Pack","1 pc","₹250","₹329","24%
OFF","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f5ec240d-6769-49d9-8ea6-6bdabd64d14b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775678627-247","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Iodex Multipurpose Pain Balm","40 g","₹178","","","ADD","","",""
"1775678627-248","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Dabur Hajmola Pudina Tablets +  Anardana Digestive Tablets Combo","120 g + 120 g","₹117","₹130","10%
OFF","ADD","","",""
"1775678627-249","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Revital Recharge ORS - Nimbu Paani Flavour","200 ml","₹31","","","ADD","2 options","",""
"1775678627-250","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Hoop Hydrocool Pain Relief Patch","5 pcs","₹424","₹440","","ADD","","",""
"1775678627-251","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Himalaya Foot Cream","50 g","₹116","₹131","11%
OFF","ADD","","",""
"1775678627-252","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Honeywell Bilsom Disposable Foam Ear Plug","5 pairs","₹90","","","ADD","","",""
"1775678627-253","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Zandu Ayurvedic Pain Relief Patch","5 pcs","₹169","₹233","27%
OFF","ADD","","",""
"1775678627-254","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Himalaya Koflet-H Kaadha Hot Drink Sachets","10 x 3.5 g","₹106","₹120","11%
OFF","ADD","","",""
"1775678627-255","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Eno Chewy Bites - On The Go Acidity Relief, Zesty Orange","30 pcs","₹157","₹169","7%
OFF","ADD","","",""
"1775678627-256","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Cozy Nose Better Breathe Nasal Strips","10 pcs","₹396","₹599","33%
OFF","ADD","","",""
"1775678627-257","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Wellbeing Nutrition Throat Melts Oral Strips for Cough","30 pcs","₹549","₹599","8%
OFF","ADD","","",""
"1775678627-258","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Revital Recharge ORS - Apple Flavour","200 ml","₹31","","","ADD","","",""
"1775678627-259","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Lenskart Anti Fog - Resist Lens Cleaner Solution","30 ml","₹151","₹499","69%
OFF","ADD","","",""
"1775678627-260","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Wellness Surgicals Cotton Crepe Bandage (10 cm X 4m)","1 roll","₹208","₹280","25%
OFF","ADD","","",""
"1775678627-261","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Vicks Baby Rub Chest Rub & Balm","50 ml","₹199","₹215","7%
OFF","ADD","","",""
"1775678627-262","https://blinkit.com/cn/pharma-wellness//cid/287/8713","ZEISS AntiFOG Lens Wipe","20 pcs","₹218","₹249","12%
OFF","ADD","","",""
"1775678627-263","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Dabur Honey - 100% Pure, World's No.1 Honey Brand (No Sugar Adulteration) + Honitus Hot Sip Ayurvedic Kaadha Combo","250 g + 7 x 4 g","₹172","₹202","14%
OFF","ADD","","",""
"1775678627-264","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Zandu Ayurvedic Knee Pain Relief Patch","5 pcs","₹269","₹468","42%
OFF","ADD","","",""
"1775678627-265","https://blinkit.com/cn/pharma-wellness//cid/287/8713","ZEISS Lens Cleaner (White)","30 ml","₹249","","","ADD","2 options","",""
"1775678627-266","https://blinkit.com/cn/pharma-wellness//cid/287/8713","DroliaFresh Sleep & Sport Magnetic Nose Clip Dilator","15 pairs","₹349","₹1,999","82%
OFF","ADD","","",""
"1775678627-267","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Jungle Formula Anti Lice Treatment","50 ml","₹280","","","ADD","","",""
"1775678627-268","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Kofol Chewable Ayurvedic Cough Tablets","25 tabs","₹56","","","ADD","","",""
"1775678627-269","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Sahyog Wellness Heating Pad (Regular Size, Colour May Vary)","1 pc","₹699","₹1,999","65%
OFF","ADD","","",""
"1775678627-270","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Sahyog Wellness Ice Bag","1 pc","₹299","₹595","49%
OFF","ADD","","",""
"1775678627-271","https://blinkit.com/cn/pharma-wellness//cid/287/8713","Iodex Multipurpose Pain Balm","40 g","₹178","","","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/eb08652d-79ca-4296-8972-7cc6b227539b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
