web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775626873-233","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Organic Tattva Black Organic Mustard Seeds","100 g","₹27","₹30","10%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/34e822d2-2fc2-48fb-b414-38e5c5dcb7d2.png","",""
"1775626873-234","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Aashirvaad Pure Whole Ajwain Seeds (Ajwain)","100 g","₹44","₹55","20%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7a772637-2bb3-4704-8f24-3da1df36d976.png","",""
"1775626873-235","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Zoff Big Black Cardamom Whole (Kaalo Elaichi)","25 g","₹108","₹128","15%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1149d0e9-0d64-4970-a129-fe2d18f57284.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775626873-236","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","24 Mantra Organic Cumin Seeds / Jeera Seeds","100 g","₹144","₹180","20%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770788511345-785.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775626873-237","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Aashirvaad Whole Black Pepper /Kali Mirch (Kaalo Morich)","100 g","₹145","₹200","27%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/383c4d17-6893-4a62-9429-7c0872dfe09b.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775626873-238","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Catch Cinnamon Whole (Dalchini)","50 g","₹39","₹50","22%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7c20a538-d0cb-4887-981e-4ecc97261fb9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775626873-239","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Organic Tattva Black Organic Mustard Seeds","100 g","₹27","₹30","10%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/34e822d2-2fc2-48fb-b414-38e5c5dcb7d2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775626873-240","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Aashirvaad Pure Whole Ajwain Seeds (Ajwain)","100 g","₹44","₹55","20%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7a772637-2bb3-4704-8f24-3da1df36d976.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775626873-241","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Catch Red Chilli Whole","100 g","₹55","₹75","26%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1771991783673-1267.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775626873-242","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Catch Whole Poppy Seeds (Khuskhus)","100 g","₹309","₹385","19%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e960499b-d562-4b07-9d5d-76751d07c5c6.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775626873-243","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","True Elements White Sesame Seeds (Safed Til) (Safed Til)","150 g","₹109","₹200","45%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1773209075619-161.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775626873-244","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Whole Farm Premium Black Peppercorns (Golmorich)","100 g","₹133","₹180","26%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/051f33d1-55d3-4b8b-b0b7-24bc0f50f6c4.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
"1775626873-245","https://blinkit.com/cn/dry-fruits-masala-oil/whole-spices/cid/1557/930","Zoff Black Sesame Seeds (Kaalo Til Beej)","100 g","₹63","₹80","21%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/caca1261-30ce-4a49-98e8-4b8cf39ce683.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png",""
