web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775622326-112","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Kitchens of India Yellow Dal Tadka Ready to Eat","285 g","₹103","₹127","18%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3207c9f4-0ea6-409f-ba6b-d0480321766d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-113","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Kohinoor Hyderabadi Biryani Kit (Long Grain)","333 g","₹135","₹139","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/dd224231-d2d9-4764-8c63-28932e24fb65.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-114","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Salsalito Multigrain Tortilla Wrap (6 pcs)","348 g","₹185","₹190","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0f53f69f-1121-4b2b-a573-a5a50e46254e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-115","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Tasty Nibbles Sardine Fish In Oil","185 g","₹117","₹130","10%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e8d5ecd7-fe22-4d98-ad6e-c00b24dabb33.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-116","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Tata Sampann Awadhi Style Shahi Paneer Instant Gravy Masala Mix","45 g","₹50","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770705263225-1583.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-117","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","The Naturik Co Super 3 High Protein Sprouts Mix","120 g","₹128","₹149","14%
OFF","ADD","13 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ca496735-cff3-4957-a1cb-72484e4ff49f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-118","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Urban Platter Sushi Nori Sheet (Seaweed)","25 g","₹309","₹325","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4bec0a2a-376d-4872-be1c-401e000bd348.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-119","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","pastaZara Black Olives Sliced","450 g","₹303","₹375","19%
OFF","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3d4eef9a-bd0e-4963-a1dc-956f79e2f7cf.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-120","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Real Thai Rice Paper","100 g","₹210","","","ADD","11 mins","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/81594149-611d-4dff-9019-16350ef3a3c2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775622326-121","https://blinkit.com/cn/instant-frozen-food/ready-to-cook-eat/cid/15/1294","Kitchens of India Palak Paneer Ready to Eat","285 g","₹126","₹170","25%
OFF","ADD","11 mins","","",""
