web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,image,image2
"1775684151-77","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Motorzee Scooty/ Bike Cover","1 pc","₹429","₹799","Out of Stock","","",""
"1775684151-78","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Studds Ray Open Face Helmet (Pink, M)","1 unit","₹869","₹920","Out of Stock","","",""
"1775684151-79","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","3M Car Glass Cleaner","500 ml","₹546","","30 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4f4c97b0-7ff6-4d0d-8a14-7e1092bdf3ae.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-80","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Meguiars Ultimate Quick Hydrophobic Car Wax","473 ml","₹892","₹999","10%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/96ee9ebe-9e30-4bef-96a9-52b3a794089a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-81","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Motorzee Car Steering Knob","1 pc","₹279","₹499","44%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6146daeb-04c8-49ab-8d98-aa09ce75608e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-82","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Motorzee Car Seat Hook Set","4 pcs","₹179","₹299","40%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4b66a420-8213-4b6a-8e56-c0b2b9b13bee.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-83","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","3M Care Kit Bike Polish","1 pc","₹719","₹829","13%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/1bdc80b3-6889-4f99-936d-c11dee923756.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-84","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Meguiars Supreme Shine Shine Car Microfiber Cloth","1 pc","₹328","₹399","17%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/f80f8a15-82c5-4828-bbd4-9f0240aba80a.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775684151-85","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Motorzee Jumper Cable","1 pc","₹599","","30 mins","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/19a43314-9313-44fb-917d-7fb6a268117d.png",""
"1775684151-86","https://blinkit.com/cn/home-office/car-bike-care/cid/1379/1415","Meguiars Ultimate Waterless Wash Car Wax","768 ml","₹728","₹799","8%
OFF","ADD","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/bd84002a-3a2b-4d65-aa09-acbeea28f260.png",""
