web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2
"1775624799-41","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","Puramate Baking Soda","50 g","₹25","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/0bc6a5c0-6f4e-4e2b-8c4a-d551ac15d099.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-42","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","Flavour Bucket Biryani Flavour Essence","3 g","₹39","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/48e6018f-19dc-4d1a-82d3-fefc1127b9d2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-43","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","Weikfield Strawberry Jelly Crystal Dessert Mix","90 g","₹58","₹60","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/9ad1c5a9-7b0c-4763-8739-129635ddfec9.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-44","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","Puramate Liquid Orange Food Colour","30 ml","₹40","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/ae9273d3-8e04-4a3a-b512-97f2a8efb9e7.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-45","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","The Select Aisle Corn Flour (Starch)","100 g","₹30","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770287955535-439.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-46","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","The Select Aisle Agar Agar Powder (Veg Gelatin)","20 g","₹123","₹129","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/26add4f6-51fc-4cc6-8655-e7dcd64f1f2e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-47","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","The Select Aisle Vanilla Flavour Essence","30 ml","₹48","₹49","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/17b02816-7211-4092-9a1f-ab52efd83625.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-48","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","24 Mantra Organic Idly Rava/Sooji","500 g","₹69","₹75","8%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770788511345-257.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-49","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","Puramate Food Colour (Green)","30 ml","₹40","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/967e54ea-bf14-44b3-a822-0929c86fa27e.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775624799-50","https://blinkit.com/cn/bakery-biscuits/baking-ingredients/cid/888/971","Puramate Red Liquid Food Colour","30 ml","₹40","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b4fedd65-2bf4-4b2b-8451-c274c7df5c21.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
