web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,image,image2
"1775673863-30","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Little's Soft Cleansing Baby Wipes | Wet Wipes - Pack of 2","2 x 80 wipes","₹171","₹380","Out of Stock","16 mins","","","",""
"1775673863-31","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Teddyy Soft Cleansing Baby Wet Wipes with Lid","3 x 72 wipes","₹149","₹597","75%
OFF","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/251bc55c-cd15-442c-a7aa-ca0f7f450ea0.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-32","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Mother Sparsh 99% Pure Water Baby Wipes Pack of 3","3 x 72 wipes","₹558","₹897","37%
OFF","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772169697746-709.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-33","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Little's AquaSense Baby Wipes","72 wipes","₹181","₹299","39%
OFF","16 mins","ADD","2 options","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a05853ca-c69a-4e53-b8a5-7df355a9ad52.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-34","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Chicco Fliptop Wet Baby Wipes","3 x 72 wipes","₹245","₹349","29%
OFF","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6c138352-122f-4d61-8b13-563f50c164bb.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-35","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Pampers Baby Wipes with Aloe","72 wipes","₹297","₹299","","16 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/59c2282c-4954-436c-a5cd-5f1150639b80.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-36","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Mee Mee Gentle Wet Baby Wipes with Aloe Vera - Pack of 5","5 x 72 wipes","₹319","₹495","35%
OFF","30 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d298e6ce-e1d7-40fc-80d0-e6b4289c6e43.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-37","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Glider Baby Wipes Vitamin-E Enriched","3 x 72 wipes","₹185","₹510","63%
OFF","30 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b04dc023-65ea-4c13-9888-30181d3ae6ca.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-38","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Glider Soft Baby Wipes","6 x 72 wipes","₹299","₹1,050","71%
OFF","30 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/eb6a97c4-7762-4d99-8002-9982ca0ad37c.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-39","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Evelance Wet Baby Wipes","3 x 72 wipes","₹199","₹597","66%
OFF","30 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/51aad86e-0f50-419d-9615-bc67630cce17.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-40","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Claret Baby Wipes","72 wipes","₹119","₹199","40%
OFF","30 mins","ADD","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1775063890975-187.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-41","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Himalaya Gentle Baby Wipes","2 x 72 wipes","₹236","₹280","Out of Stock","16 mins","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/6dcd0182-87b0-4ee2-bef9-8d2eaac30d18.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-42","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Mother Sparsh 98% Pure Water Baby Wipes","80 wipes","₹144","₹198","Out of Stock","16 mins","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/c4d6f79b-a0de-4fe1-ba81-5849cbd070d2.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-43","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Babio Baby Wipes with Lid","3 x 72 wipes","₹149","₹435","Out of Stock","30 mins","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7ae645df-d5ca-41b7-a6a4-3e32c297b53f.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-44","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Mother Sparsh 99% Pure Water Baby Wipes","72 wipes","₹180","₹299","Out of Stock","16 mins","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772104587052-575.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-45","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Mother Sparsh Plant Powered Natural Baby Wipes (Cucumber)","3 x 60 wipes","₹274","₹597","Out of Stock","30 mins","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770898370833-136.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-46","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Mother Sparsh Plant Powered Natural Baby Wipes","60 wipes","₹145","₹199","Out of Stock","16 mins","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770898370833-84.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-47","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Mylo Gentle Baby Wipes with Lid (Coconut Oil & Neem)","3 x 72 wipes","₹249","₹537","Out of Stock","30 mins","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d00a77cb-9fb6-4d1b-9dc8-f2193873c1ea.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-48","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Little's Soft Cleansing Baby Wipes | Wet Wipes - Pack of 2","2 x 80 wipes","₹171","₹380","Out of Stock","16 mins","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/10175ba3-c151-4f31-becb-60ff9c819800.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-49","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Mother Sparsh 98% Pure Water Baby Wipes","3 x 80 wipes","₹399","₹594","Out of Stock","16 mins","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/7068dddd-a9ab-4a6f-835e-31c14fb44f4d.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-50","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Mamma Love 99% Pure Water Baby Wipes","216 wipes","₹199","₹597","Out of Stock","30 mins","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772091960467-543.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
"1775673863-51","https://blinkit.com/cn/baby-care/baby-wipes/cid/7/996","Tots & Bubbles Baby Wipes with Lid","72 wipes","₹179","₹299","Out of Stock","30 mins","","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/62632cae-7218-4f04-bf80-f0b0de453fd0.png","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/30-mins.png"
