web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775593444-88","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Prasuma Tandoori Chicken Momos","280 g","₹220","","","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/d722c52a-95c2-4fea-b38d-c25e7615ea02.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-89","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Wow! Momo Masala Chicken Momos - Buy 1 Get 1 Free","2 x 10 pcs","₹230","₹257","10%
OFF","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/44e4edf2-6468-485d-aa5f-d7fa8f6da1e7.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-90","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Gadre Fish Seekh Kebab","250 g","₹183","₹215","14%
OFF","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/25a2521c-fcab-4557-b8f1-ffb0f92e782b.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-91","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Gadre Tilapia Fish Fingers","200 g","₹230","","","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/3d495374-c9d4-44da-958f-cd255cb8dd79.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-92","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Prasuma Peri Peri Chicken Momos","250 g","₹210","","","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/4cf0603c-daf4-4262-9873-99df136c7772.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-93","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Venky's Chicken Seekh Kebab","500 g","₹460","","","ADD","9 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/20df7888-e81e-4e6b-80c0-bd6fee9eb2d5.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-94","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","ITC Master Chef Crunchy Chicken Nuggets","450 g","₹251","₹304","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770272975530-4.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-95","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Prasuma Original Chicken Momos","24 pcs","₹269","₹305","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/646da1f0-cfda-4d55-87d0-3e116fbe3273.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-96","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Meatzza Chicken Burger Patty","500 g","₹284","₹315","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e164d586-7a11-40d8-a38d-1e19577621b4.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-97","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Prasuma Chicken Tikka Pizza Minis","2 pcs","₹123","₹159","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8682deac-bf78-45af-9cdf-c66e3a7072ae.png","",""
"1775593444-98","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Godrej Yummiez Lucknowi Chicken Seekh Kebab (Frozen)","400 g","₹249","₹295","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772726001948-14.png","",""
"1775593444-99","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","ITC Master Chef Crunchy Chicken Nuggets","1 kg","₹605","","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770272975530-63.png","",""
"1775593444-100","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Gadre Ready-to-Fry Fish Fry Snack Combo","400 g","₹238","₹280","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fe96ce00-7bfd-4bc6-a688-bbbbd29d55d5.png","",""
"1775593444-101","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Meatzza Marinated Boneless Malai Chicken Tikka","500 g","₹279","₹310","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e6876703-5a9d-49a8-8e00-b951c4b2a538.png","",""
"1775593444-102","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Prasuma Loaded Chicken Pizza Minis","2 pcs","₹123","₹159","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/55c98a65-525e-42d2-8938-dcc0724f1400.png","",""
"1775593444-103","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Prasuma Chicken Tikka Pizza Minis","2 pcs","₹123","₹159","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8682deac-bf78-45af-9cdf-c66e3a7072ae.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-104","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Godrej Yummiez Lucknowi Chicken Seekh Kebab (Frozen)","400 g","₹249","₹295","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1772726001948-14.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-105","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","ITC Master Chef Crunchy Chicken Nuggets","1 kg","₹605","","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770272975530-63.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-106","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Gadre Ready-to-Fry Fish Fry Snack Combo","400 g","₹238","₹280","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fe96ce00-7bfd-4bc6-a688-bbbbd29d55d5.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-107","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Meatzza Marinated Boneless Malai Chicken Tikka","500 g","₹279","₹310","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/e6876703-5a9d-49a8-8e00-b951c4b2a538.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-108","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Prasuma Loaded Chicken Pizza Minis","2 pcs","₹123","₹159","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/55c98a65-525e-42d2-8938-dcc0724f1400.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775593444-109","https://blinkit.com/cn/instant-frozen-food/frozen-non-veg-snacks/cid/15/1412","Carnivore Regular Chicken Seekh Kebab (Frozen)","500 g","₹247","₹330","Out of Stock","","Out of Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/a37e571f-3a2d-4792-8267-e81a8c00f677.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
