web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,image
"1775683994-19","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","SG Wicket-Keeping Hand Gloves","₹1,318","₹1,449","9%
OFF","ADD","1 pair",""
"1775683994-20","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Slovic Tennis Cricket Ball","₹299","₹699","57%
OFF","ADD","6 pcs",""
"1775683994-21","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Boldfit Turf Cricket Bat","₹314","₹999","68%
OFF","ADD","1 pc",""
"1775683994-22","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Nivia Plastic Air Pump (Black)","₹217","₹299","27%
OFF","ADD","1 pc",""
"1775683994-23","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Cosco Aero 550 Nylon Shuttlecock","₹253","₹499","49%
OFF","ADD","3 pcs",""
"1775683994-24","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Cosco Hurricane Football (Size - 5)","₹529","₹999","47%
OFF","ADD","1 pc",""
"1775683994-25","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Boldfit Unisex Swimming Cap (Black)","₹269","₹999","73%
OFF","ADD","1 pc",""
"1775683994-26","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Slovic 3 kg PVC Dumbbells Set for Daily Workout","₹399","₹999","60%
OFF","ADD","1 pair",""
"1775683994-27","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Nivia Storm White Rubber Football (68-70 cm) (White)","₹369","₹699","47%
OFF","ADD","1 pc",""
"1775683994-28","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Cosco Cricket Bat (for Tennis ball only)","₹982","₹1,190","17%
OFF","ADD","1 pc",""
"1775683994-29","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Boldfit Exercise Yoga Mat -4 mm (Navy Blue)","₹299","₹699","57%
OFF","ADD","1 pc",""
"1775683994-30","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","Boldfit Weight Lifting Wrist Gym Straps","₹309","₹899","65%
OFF","ADD","1 pair",""
"1775683994-31","https://blinkit.com/cn/home-office/sports-fitness/cid/1379/1992","SG Wicket-Keeping Hand Gloves","₹1,318","₹1,449","9%
OFF","ADD","1 pair","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/b85f6b55-80f4-4015-bce9-3ffa8adbe3d1.png"
