web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,image,image2,image3
"1775627182-199","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Aryadhenu Shudh Desi Khand","900 g","₹205","","","ADD","14 mins","","",""
"1775627182-200","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Mevano Zeeero Monk Fruit Sweetener without Erythritol","250 g","₹499","₹500","Out of Stock","","Out of Stock","","",""
"1775627182-201","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Mevano Premium Organic Coconut Sugar","350 g","₹349","","Out of Stock","","Out of Stock","","",""
"1775627182-202","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Mevano Premium Organic Coconut Sugar","1 kg","₹699","₹749","Out of Stock","","Out of Stock","","",""
"1775627182-203","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Whole Farm Premium Jaggery Powder (Gur Gura)","500 g","₹50","₹120","Out of Stock","","Out of Stock","","",""
"1775627182-204","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Dulal Chandra Bhar's Candy Palm Sugar","850 g","₹269","₹349","Out of Stock","","Out of Stock","","",""
"1775627182-205","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Bebe Solid Jaggery Cubes (Gur Gola)","400 g","₹68","","Out of Stock","","Out of Stock","","",""
"1775627182-206","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Dhampure White Crystal Sulphurless Sugar","1 kg","₹54","₹65","Out of Stock","","Out of Stock","","",""
"1775627182-207","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Pro Organic Life Dhaga Organic Mishri (Rock Candy Sugar)","1 kg","₹248","₹350","Out of Stock","","Out of Stock","","",""
"1775627182-208","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Dhampure White Crystal Sulphurless Sugar","5 kg","₹255","₹315","Out of Stock","","Out of Stock","","",""
"1775627182-209","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Menu Maker Palm Jaggery / Khejur Patali Gur (Palm Gur)","600 g","₹252","₹335","Out of Stock","","Out of Stock","","",""
"1775627182-210","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","24 Mantra Organic Sugar","1 kg","₹125","₹160","Out of Stock","","Out of Stock","","",""
"1775627182-211","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Gurmae Instantly Dissolvable Organic Jaggery Cubes Gud Tea Sweetener","25 pcs","₹200","₹225","11%
OFF","ADD","14 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/99b099dc-5c2a-487e-95d0-205b84802153.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-212","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Nuturge Jaggery Powder (Gur Gura)","500 g","₹99","","","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/92ac2e97-ab10-469a-a719-3085c77f2b11.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-213","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Rizz Coconut Sugar","250 g","₹229","₹295","22%
OFF","ADD","14 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/fc3180b3-f18c-45a1-aed8-29076fea313a.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-214","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Sweetmate Stevia Powder","100 g","₹189","","","ADD","14 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/de6cc158-9b18-48b7-91a1-fa0c3a879385.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-215","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Biswa Bangla Taal Jaggery Powder","400 g","₹320","₹359","10%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/052c4c04-b56c-4489-b6e7-872183f11f7a.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-216","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Praakritik Coconut Organic Sugar","300 g","₹365","₹390","6%
OFF","ADD","14 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/07d98d7a-674b-4b54-bf1b-e673ac1d5121.png","","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=90/assets/eta-icons/15-mins.png"
"1775627182-217","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","On1y Pink Salt (Gulabi Nuun)","100 g","₹87","₹99","12%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/174452af-5474-4082-a1ca-5afde424caf3.png","",""
"1775627182-218","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Miss Monk Monk Fruit Sweetener","50 x 4 ml","₹349","₹399","12%
OFF","ADD","14 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8f2e75d0-3b78-4f3c-88a9-b7dfbfd30eca.png","",""
"1775627182-219","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Catch Crystal Rock Salt Grinder","100 g","₹79","₹119","33%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/badcd7c3-1bd0-4e17-bf56-4f02094d1bdb.png","",""
"1775627182-220","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Praakritik Organic Jaggery Powder","500 g","₹110","₹135","18%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/8f9b5dd9-0e40-4de7-8f9a-0d0303192529.png","",""
"1775627182-221","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Pro Nature Classic Pink Salt (Gulabi Nuun)","500 g","₹62","₹68","8%
OFF","ADD","12 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/90fab9e3-29b1-4ad5-9594-2c2c144bf98a.png","",""
"1775627182-222","https://blinkit.com/cn/dry-fruits-masala-oil/salt-sugar-jaggery/cid/1557/933","Artinci DrinkSmart - Monkfruit Sweetener","340 g","₹449","₹599","25%
OFF","ADD","14 mins","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=270/da/cms-assets/cms/product/rc-upload-1770627019810-163.png","",""
